nameOrig,last_step,Recency,Frequency,MonetarySum,MonetaryAvg,R_Score,F_Score,M_Score,RFM_Total,Segment
C1129446404,784,22,5.0,101528.96617479507,20305.793234959016,4,4,3,11,Champions (핵심 VIP)
C1131788370,492,314,5.0,891718.519761449,178343.7039522898,4,4,4,12,Champions (핵심 VIP)
C1131884196,662,144,3.0,8153284.499676043,2717761.4998920145,4,4,4,12,Champions (핵심 VIP)
C1133334118,452,354,5.0,126484.7811796722,25296.956235934438,4,4,3,11,Champions (핵심 VIP)
C1133693805,351,455,5.0,1292048.2564774735,258409.6512954947,4,4,4,12,Champions (핵심 VIP)
C1133848041,347,459,5.0,657434.4841247114,131486.89682494226,4,4,4,12,Champions (핵심 VIP)
C1134480804,402,404,5.0,1111040.4855436655,222208.09710873308,4,4,4,12,Champions (핵심 VIP)
C1135318447,398,408,3.0,458363.33092006965,152787.77697335655,4,4,4,12,Champions (핵심 VIP)
C1135389128,276,530,5.0,1872502.149125371,374500.42982507416,3,4,4,11,Champions (핵심 VIP)
C1135830709,397,409,3.0,571387.500377955,190462.500125985,4,4,4,12,Champions (핵심 VIP)
C1136210936,373,433,4.0,95910.6535549243,23977.663388731075,4,4,3,11,Champions (핵심 VIP)
C113647058,471,335,5.0,480530.3283352234,96106.06566704469,4,4,4,12,Champions (핵심 VIP)
C1137073375,421,385,5.0,298322.61747352034,59664.523494704066,4,4,4,12,Champions (핵심 VIP)
C1139957639,353,453,4.0,1040182.1641266999,260045.54103167498,4,4,4,12,Champions (핵심 VIP)
C1140450589,715,91,5.0,896642.3722329056,179328.47444658112,4,4,4,12,Champions (핵심 VIP)
C1141334373,283,523,3.0,531997.4964109302,177332.4988036434,3,4,4,11,Champions (핵심 VIP)
C1141392515,423,383,3.0,377527.68600125366,125842.56200041789,4,4,4,12,Champions (핵심 VIP)
C11424499,469,337,4.0,8291089.1694769645,2072772.2923692411,4,4,4,12,Champions (핵심 VIP)
C1142680071,252,554,4.0,578194.1321883764,144548.5330470941,3,4,4,11,Champions (핵심 VIP)
C1142845573,418,388,3.0,45752.11156990606,15250.703856635353,4,4,3,11,Champions (핵심 VIP)
C1142973891,377,429,5.0,674614.1175573445,134922.8235114689,4,4,4,12,Champions (핵심 VIP)
C1143122683,383,423,3.0,1290546.266405247,430182.088801749,4,4,4,12,Champions (핵심 VIP)
C1143980467,349,457,3.0,155709.6802805095,51903.22676016983,4,4,3,11,Champions (핵심 VIP)
C1145167904,476,330,5.0,856656.4066933324,171331.28133866648,4,4,4,12,Champions (핵심 VIP)
C1145930545,251,555,4.0,322566.9807934844,80641.7451983711,3,4,4,11,Champions (핵심 VIP)
C114694285,685,121,3.0,862221.5215988294,287407.17386627645,4,4,4,12,Champions (핵심 VIP)
C1149054314,311,495,3.0,527435.7923410339,175811.93078034464,3,4,4,11,Champions (핵심 VIP)
C1149845186,497,309,5.0,766284.4189515162,153256.88379030323,4,4,4,12,Champions (핵심 VIP)
C115066348,283,523,4.0,221141.9597448512,55285.4899362128,3,4,4,11,Champions (핵심 VIP)
C1151018321,422,384,5.0,74019.60106501244,14803.920213002488,4,4,3,11,Champions (핵심 VIP)
C1153398966,476,330,5.0,82089.87618119236,16417.97523623847,4,4,3,11,Champions (핵심 VIP)
C115486696,336,470,5.0,476153.95815483754,95230.7916309675,3,4,4,11,Champions (핵심 VIP)
C1155016341,306,500,3.0,1232630.2757851088,410876.7585950363,3,4,4,11,Champions (핵심 VIP)
C1155382936,734,72,3.0,64160.10978415732,21386.703261385774,4,4,3,11,Champions (핵심 VIP)
C115633836,282,524,5.0,538731.8168464155,107746.3633692831,3,4,4,11,Champions (핵심 VIP)
C1156785548,423,383,4.0,1237274.9429736293,309318.73574340733,4,4,4,12,Champions (핵심 VIP)
C115793781,456,350,5.0,46001.92809310536,9200.385618621072,4,4,3,11,Champions (핵심 VIP)
C1158988091,328,478,4.0,1659157.8260433502,414789.45651083754,3,4,4,11,Champions (핵심 VIP)
C1159458205,259,547,3.0,359482.13862138486,119827.37954046162,3,4,4,11,Champions (핵심 VIP)
C1159612322,660,146,4.0,97110.01552769872,24277.50388192468,4,4,3,11,Champions (핵심 VIP)
C116054440,637,169,3.0,293165.80076439306,97721.93358813103,4,4,4,12,Champions (핵심 VIP)
C1160563275,346,460,4.0,311987.4388727903,77996.85971819758,3,4,4,11,Champions (핵심 VIP)
C1161272957,396,410,4.0,389927.5687987802,97481.89219969505,4,4,4,12,Champions (핵심 VIP)
C1162381005,359,447,3.0,48053.47728057173,16017.825760190577,4,4,3,11,Champions (핵심 VIP)
C1162490198,332,474,3.0,612840.8256462847,204280.27521542824,3,4,4,11,Champions (핵심 VIP)
C1163159052,466,340,4.0,1481218.130503798,370304.5326259495,4,4,4,12,Champions (핵심 VIP)
C1164493674,470,336,4.0,240060.07382451845,60015.01845612961,4,4,4,12,Champions (핵심 VIP)
C1164735194,379,427,4.0,5217586.2371403985,1304396.5592850996,4,4,4,12,Champions (핵심 VIP)
C1165582924,465,341,5.0,512294.1026507728,102458.82053015455,4,4,4,12,Champions (핵심 VIP)
C1165610727,465,341,5.0,108169.29997264924,21633.85999452985,4,4,3,11,Champions (핵심 VIP)
C1167566789,373,433,4.0,867367.5333254396,216841.8833313599,4,4,4,12,Champions (핵심 VIP)
C1168268995,451,355,4.0,87884.12620903482,21971.031552258704,4,4,3,11,Champions (핵심 VIP)
C1168582208,372,434,5.0,1683398.2457656984,336679.6491531397,4,4,4,12,Champions (핵심 VIP)
C1169290959,369,437,5.0,581194.9939696412,116238.99879392823,4,4,4,12,Champions (핵심 VIP)
C1170294244,297,509,3.0,325287.07206950587,108429.02402316862,3,4,4,11,Champions (핵심 VIP)
C1170915230,360,446,3.0,610087.8920617381,203362.630687246,4,4,4,12,Champions (핵심 VIP)
C1171619654,568,238,3.0,51506.755436586755,17168.91847886225,4,4,3,11,Champions (핵심 VIP)
C117184834,425,381,4.0,787767.5254618606,196941.88136546515,4,4,4,12,Champions (핵심 VIP)
C1172157637,300,506,3.0,245326.44861468047,81775.48287156016,3,4,4,11,Champions (핵심 VIP)
C1172847433,332,474,5.0,236462.27748936275,47292.45549787255,3,4,4,11,Champions (핵심 VIP)
C1173079688,431,375,3.0,859012.7682856511,286337.5894285504,4,4,4,12,Champions (핵심 VIP)
C1173318545,449,357,3.0,296247.96268163173,98749.32089387724,4,4,4,12,Champions (핵심 VIP)
C1174370431,356,450,5.0,447293.11973506154,89458.62394701231,4,4,4,12,Champions (핵심 VIP)
C1174576897,479,327,4.0,144945.0670103248,36236.2667525812,4,4,3,11,Champions (핵심 VIP)
C1175615453,299,507,3.0,763124.8700075205,254374.95666917352,3,4,4,11,Champions (핵심 VIP)
C1175829100,614,192,4.0,806187.7914040891,201546.94785102227,4,4,4,12,Champions (핵심 VIP)
C1175950596,376,430,3.0,470375.3720050979,156791.79066836598,4,4,4,12,Champions (핵심 VIP)
C1176880537,355,451,3.0,560905.8787558259,186968.62625194198,4,4,4,12,Champions (핵심 VIP)
C1177767785,452,354,3.0,361657.8856587837,120552.62855292791,4,4,4,12,Champions (핵심 VIP)
C1179227416,475,331,5.0,742250.5506333704,148450.1101266741,4,4,4,12,Champions (핵심 VIP)
C1181232288,355,451,3.0,82246.71877964897,27415.57292654966,4,4,3,11,Champions (핵심 VIP)
C1181360500,383,423,4.0,425274.36388804205,106318.59097201051,4,4,4,12,Champions (핵심 VIP)
C1183064491,498,308,5.0,1243851.5067297753,248770.30134595506,4,4,4,12,Champions (핵심 VIP)
C1185218442,446,360,5.0,353152.50431724463,70630.50086344892,4,4,4,12,Champions (핵심 VIP)
C1185296056,346,460,3.0,907419.6525775038,302473.2175258346,3,4,4,11,Champions (핵심 VIP)
C1189130850,456,350,3.0,478577.6838454918,159525.89461516394,4,4,4,12,Champions (핵심 VIP)
C1190590502,478,328,5.0,261163.46377659935,52232.69275531987,4,4,4,12,Champions (핵심 VIP)
C1193506185,449,357,5.0,1296947.7594229777,259389.55188459554,4,4,4,12,Champions (핵심 VIP)
C1195074744,620,186,4.0,330819.3074430286,82704.82686075715,4,4,4,12,Champions (핵심 VIP)
C119532278,541,265,4.0,657498.6913788461,164374.67284471152,4,4,4,12,Champions (핵심 VIP)
C1196250376,400,406,3.0,1648315.4791481083,549438.4930493694,4,4,4,12,Champions (핵심 VIP)
C1197556839,426,380,4.0,934980.146217529,233745.03655438224,4,4,4,12,Champions (핵심 VIP)
C1198033300,467,339,4.0,206471.4818924965,51617.87047312412,4,4,4,12,Champions (핵심 VIP)
C119822241,352,454,5.0,70140.80248108174,14028.16049621635,4,4,3,11,Champions (핵심 VIP)
C1198454925,494,312,5.0,107711.09721091003,21542.219442182006,4,4,3,11,Champions (핵심 VIP)
C1198852453,570,236,3.0,416086.04478491115,138695.34826163706,4,4,4,12,Champions (핵심 VIP)
C1199057065,451,355,3.0,57812.15901896711,19270.71967298904,4,4,3,11,Champions (핵심 VIP)
C1199999924,422,384,3.0,1500661.8648430353,500220.6216143451,4,4,4,12,Champions (핵심 VIP)
C1200203022,430,376,3.0,352258.7944850557,117419.59816168524,4,4,4,12,Champions (핵심 VIP)
