nameOrig,Recency,Frequency,MonetarySum,MonetaryAvg
C1000759563,622,1.0,255808.35,255808.35
C1000765041,280,1.0,18341.95,18341.95
C1000765515,677,1.0,157782.74,157782.74
C1000772154,789,0.0,0.0,0.0
C1000785873,542,1.0,184866.42,184866.42
C1000834747,629,1.0,117562.61,117562.61
C1000840969,619,1.0,146347.79,146347.79
C1000841588,452,1.0,100262.79,100262.79
C1000870278,772,0.0,0.0,0.0
C1000877613,617,1.0,6129.59,6129.59
C1000913608,411,1.0,3614.57,3614.57
C100091587,453,1.0,11551.28,11551.28
C1000921451,481,1.0,308444.57,308444.57
C1000947901,570,1.0,29929.79,29929.79
C1000954529,619,1.0,61998.48,61998.48
C1000963785,796,0.0,0.0,0.0
C1001000502,788,0.0,0.0,0.0
C1001011973,454,1.0,406422.47,406422.47
C1001014396,760,0.0,0.0,0.0
C1001064466,668,1.0,49421.26,49421.26
C1001077536,595,1.0,60015.99,60015.99
C1001090469,668,1.0,37308.71,37308.71
C1001114133,578,1.0,467146.78,467146.78
C1001116284,281,1.0,163419.72,163419.72
C1001116800,210,1.0,146460.66,146460.66
C1001133936,532,1.0,90581.19,90581.19
C1001145295,626,1.0,1523.66,1523.66
C1001184846,621,1.0,14243.9,14243.9
C1001191541,571,1.0,51431.09,51431.09
C1001193407,765,0.0,0.0,0.0
C1001194964,648,1.0,227481.17,227481.17
C1001217145,793,0.0,0.0,0.0
C1001218011,408,1.0,14014.77,14014.77
C1001220236,340,5.0,303355.8123766104,60671.16247532208
C1001250609,477,1.0,24683.09,24683.09
C1001251791,671,1.0,132749.41,132749.41
C100126135,623,1.0,208441.46,208441.46
C1001273331,508,1.0,123502.71,123502.71
C1001285801,284,1.0,85920.98,85920.98
C1001286999,791,0.0,0.0,0.0
C1001305128,431,1.0,47290.62,47290.62
C1001316808,306,1.0,356757.66,356757.66
C1001319927,788,0.0,0.0,0.0
C1001330692,434,1.0,34141.6,34141.6
C1001431086,499,1.0,764786.67,764786.67
C1001439658,532,1.0,5379.45,5379.45
C1001445543,646,1.0,43007.2,43007.2
C1001472871,548,1.0,172670.9,172670.9
C1001500139,454,1.0,288039.5,288039.5
C1001500343,452,1.0,23890.49,23890.49
C100154344,572,1.0,10833.71,10833.71
C1001547790,798,0.0,0.0,0.0
C1001556833,527,1.0,46426.75,46426.75
C100155923,432,1.0,16466.53,16466.53
C1001585223,260,1.0,171533.72,171533.72
C100159121,600,1.0,450.45,450.45
C1001625633,618,1.0,285030.81,285030.81
C1001657291,436,1.0,549164.37,549164.37
C1001670536,531,1.0,452050.98,452050.98
C1001689448,407,1.0,517323.06,517323.06
C100171384,548,1.0,134122.91,134122.91
C1001722206,579,1.0,254070.19,254070.19
C1001727519,311,1.0,293414.88,293414.88
C1001748581,794,0.0,0.0,0.0
C1001752020,566,1.0,127013.04,127013.04
C1001755813,572,1.0,12393.08,12393.08
C100176122,483,1.0,345566.62,345566.62
C1001774859,576,1.0,2166.35,2166.35
C1001783843,485,1.0,120700.1,120700.1
C1001790241,643,1.0,96163.83,96163.83
C1001797522,764,0.0,0.0,0.0
C1001822857,499,1.0,17524.01,17524.01
C100182774,328,1.0,17194.25,17194.25
C1001828041,792,0.0,0.0,0.0
C1001844870,504,1.0,171433.87,171433.87
C1001859251,503,1.0,266351.74,266351.74
C1001860569,676,1.0,132188.56,132188.56
C1001902112,553,1.0,25979.23,25979.23
C1001915798,620,1.0,8648.72,8648.72
C1001960440,790,0.0,0.0,0.0
C1001986179,617,1.0,6124.47,6124.47
C1001989608,505,1.0,15948.02,15948.02
C1001991700,547,1.0,148348.29,148348.29
C1001997798,527,1.0,360824.25,360824.25
C1002009017,666,4.0,444668.2418335349,111167.06045838373
C1002027328,524,1.0,4341.59,4341.59
C1002038206,762,0.0,0.0,0.0
C1002056338,591,1.0,8575.2,8575.2
C1002062228,766,0.0,0.0,0.0
C1002072120,456,1.0,279325.16,279325.16
C1002079187,666,1.0,119043.54,119043.54
C1002122918,526,1.0,7150.12,7150.12
C1002135569,595,1.0,394169.64,394169.64
C1002153719,456,1.0,41335.14,41335.14
C100215511,426,1.0,974168.67,974168.67
C1002158249,427,1.0,23866.83,23866.83
C1002187237,478,1.0,439719.02,439719.02
C1002213794,450,1.0,10439.51,10439.51
C1002216246,664,1.0,43544.37,43544.37
C1002230731,620,1.0,98261.61,98261.61
C100226328,643,1.0,173176.37,173176.37
C1002264229,456,5.0,536596.4910407796,107319.29820815593
C1002264987,772,0.0,0.0,0.0
C1002270002,643,1.0,46488.79,46488.79
C1002304229,770,0.0,0.0,0.0
C1002320209,767,0.0,0.0,0.0
C1002320727,430,1.0,9997.72,9997.72
C1002328299,571,1.0,1296892.47,1296892.47
C1002353493,406,1.0,45586.41,45586.41
C100235852,501,1.0,61833.93,61833.93
C1002362354,429,1.0,11565.23,11565.23
C1002406385,119,1.0,145101.65,145101.65
C1002418797,403,5.0,432229.228343922,86445.8456687844
C100243332,503,4.0,773970.5657306082,193492.64143265205
C1002450825,408,1.0,18054.74,18054.74
C1002461090,550,1.0,16770.2,16770.2
C1002463654,431,1.0,92423.51,92423.51
C1002475368,783,0.0,0.0,0.0
C1002483075,525,1.0,54355.44,54355.44
C1002494115,505,1.0,279984.37,279984.37
C1002506807,455,1.0,642.81,642.81
C1002529362,595,1.0,44850.0,44850.0
C1002544507,471,1.0,8918.58,8918.58
C1002586796,432,1.0,133990.68,133990.68
C1002591243,261,1.0,31515.87,31515.87
C1002614722,647,1.0,141158.4,141158.4
C1002638409,605,1.0,190530.58,190530.58
C1002667449,569,1.0,3455.81,3455.81
C1002673084,403,1.0,63794.29,63794.29
C1002687472,592,1.0,7235.14,7235.14
C1002716109,451,1.0,1690689.55,1690689.55
C1002738159,481,1.0,5635.57,5635.57
C1002788062,505,1.0,175394.76,175394.76
C1002813994,428,1.0,111467.45,111467.45
C1002851506,770,0.0,0.0,0.0
C1002852654,430,1.0,36690.46,36690.46
C1002864618,669,1.0,37505.55,37505.55
C100290337,482,1.0,29329.92,29329.92
C1002968885,761,0.0,0.0,0.0
C1002970842,604,1.0,182.56,182.56
C1002970970,575,1.0,98222.07,98222.07
C1002976026,663,1.0,7959.68,7959.68
C1002977540,406,1.0,32958.07,32958.07
C1002998850,436,1.0,2175.4,2175.4
C1003001741,115,1.0,340501.21,340501.21
C1003002862,403,1.0,186627.9,186627.9
C100301497,473,1.0,1761689.74,1761689.74
C1003036327,546,1.0,75859.71,75859.71
C100308651,546,1.0,36858.38,36858.38
C1003109869,620,1.0,42566.91,42566.91
C100310996,794,0.0,0.0,0.0
C1003128604,604,1.0,6281.93,6281.93
C1003159535,760,0.0,0.0,0.0
C1003176657,530,3.0,59561.517979803226,19853.839326601075
C1003187286,388,4.0,531939.0511250729,132984.76278126822
C100320321,600,1.0,135319.49,135319.49
C1003211025,532,4.0,1112.8945367940642,278.22363419851604
C1003245738,432,1.0,4125.02,4125.02
C1003278389,597,1.0,7862.33,7862.33
C100332941,411,1.0,267670.35,267670.35
C1003351151,478,1.0,44447.87,44447.87
C1003366793,652,1.0,363537.95,363537.95
C1003378843,624,1.0,19545.47,19545.47
C1003447428,477,1.0,14040.34,14040.34
C1003454491,578,1.0,2139.35,2139.35
C1003484144,545,1.0,157232.44,157232.44
C1003490007,547,1.0,2087.96,2087.96
C10035010,786,0.0,0.0,0.0
C1003526425,500,1.0,172113.68,172113.68
C1003538643,454,1.0,14560.28,14560.28
C1003548078,543,1.0,7015.26,7015.26
C1003607199,217,1.0,35191.26,35191.26
C1003616118,546,1.0,461765.16,461765.16
C1003624922,627,1.0,307054.92,307054.92
C1003652546,790,0.0,0.0,0.0
C1003690890,434,1.0,394051.11,394051.11
C1003778529,793,0.0,0.0,0.0
C1003809685,526,1.0,31370.08,31370.08
C100381963,401,1.0,102098.3,102098.3
C100383617,771,0.0,0.0,0.0
C1003856085,447,1.0,12723.93,12723.93
C1003864966,548,1.0,8675.73,8675.73
C1003870563,599,1.0,13470.32,13470.32
C100388272,621,1.0,2317426.38,2317426.38
C1003902725,626,1.0,4995.82,4995.82
C1003921980,623,1.0,252207.45,252207.45
C1003936678,600,1.0,4602.69,4602.69
C100395345,526,1.0,229674.48,229674.48
C1004000110,793,0.0,0.0,0.0
C1004001554,475,1.0,42696.52,42696.52
C1004020845,546,1.0,199008.44,199008.44
C100407523,669,1.0,14768.12,14768.12
C1004076018,520,1.0,113366.7,113366.7
C1004118840,471,1.0,28863.11,28863.11
C1004140392,503,1.0,147045.42,147045.42
C1004141429,452,1.0,8869.48,8869.48
C1004145508,639,1.0,18798.91,18798.91
C1004161980,645,1.0,23898.81,23898.81
C1004203106,532,1.0,4096.48,4096.48
C1004217471,618,1.0,31138.7,31138.7
C1004295532,244,3.0,50703.120354919636,16901.040118306544
C1004299119,423,1.0,6180.72,6180.72
C1004307796,523,1.0,291299.04,291299.04
C1004323901,649,1.0,266394.71,266394.71
C1004328611,459,1.0,37842.43,37842.43
C1004336643,786,0.0,0.0,0.0
C100440127,650,1.0,249336.77,249336.77
C10044085,579,1.0,29584.86,29584.86
C1004455679,668,1.0,118525.92,118525.92
C1004468840,474,1.0,167800.92,167800.92
C1004488321,650,1.0,29440.91,29440.91
C1004496328,507,1.0,24790.52,24790.52
C1004512949,528,1.0,109254.28,109254.28
C1004533610,555,1.0,81205.75,81205.75
C1004557997,407,1.0,2291830.27,2291830.27
C1004562219,473,3.0,423291.7019583393,141097.2339861131
C1004601975,521,1.0,6212.83,6212.83
C1004615972,649,1.0,87088.85,87088.85
C1004618919,479,1.0,269423.6,269423.6
C1004629773,459,1.0,17907.19,17907.19
C1004637807,762,0.0,0.0,0.0
C1004638077,768,0.0,0.0,0.0
C1004790682,572,4.0,39463.79504434258,9865.948761085645
C1004812597,788,0.0,0.0,0.0
C100482907,597,1.0,282134.34,282134.34
C1004832859,523,1.0,120132.75,120132.75
C1004860476,453,1.0,26442.94,26442.94
C1004876011,772,0.0,0.0,0.0
C1004890151,483,1.0,949025.55,949025.55
C1004892400,666,1.0,7259.93,7259.93
C100489945,575,1.0,205861.78,205861.78
C1004900779,236,1.0,75698.74,75698.74
C1004930558,793,0.0,0.0,0.0
C1004951029,652,1.0,1007313.94,1007313.94
C1004987599,476,1.0,263035.75,263035.75
C1005003938,498,1.0,88333.95,88333.95
C1005022053,523,3.0,23953.431777757352,7984.4772592524505
C1005044207,597,1.0,592590.8,592590.8
C1005047050,771,0.0,0.0,0.0
C1005063886,705,2.0,4250.662171246591,2125.3310856232956
C1005070958,577,1.0,177285.82,177285.82
C1005123427,523,1.0,19218.16,19218.16
C1005144493,675,1.0,4697.99,4697.99
C1005172698,796,0.0,0.0,0.0
C1005219304,571,1.0,153898.52,153898.52
C1005268130,596,1.0,1355831.7,1355831.7
C1005279957,501,1.0,144873.86,144873.86
C1005296496,619,1.0,1102.46,1102.46
C1005298100,411,1.0,291359.09,291359.09
C1005300322,449,1.0,57056.39,57056.39
C1005304715,769,0.0,0.0,0.0
C1005308821,790,0.0,0.0,0.0
C10053117,671,1.0,496798.65,496798.65
C1005328076,530,1.0,2142.63,2142.63
C1005334245,236,3.0,35034.561461868856,11678.187153956285
C1005341571,479,1.0,162178.98,162178.98
C1005404378,551,1.0,316053.85,316053.85
C1005429316,788,0.0,0.0,0.0
C1005437046,554,1.0,148917.55,148917.55
C1005459222,601,1.0,97407.56,97407.56
C1005474518,787,0.0,0.0,0.0
C1005496060,762,0.0,0.0,0.0
C1005521339,620,1.0,643509.95,643509.95
C100557073,481,1.0,12002.87,12002.87
C1005587372,792,0.0,0.0,0.0
C1005587780,479,1.0,281878.3,281878.3
C1005645902,596,1.0,4893.58,4893.58
C1005678754,616,1.0,9860.42,9860.42
C1005681532,476,3.0,446903.17484386143,148967.7249479538
C1005706797,670,1.0,79645.84,79645.84
C1005714924,625,1.0,18179.43,18179.43
C1005729301,792,0.0,0.0,0.0
C1005751342,697,2.0,1110863.8949971374,555431.9474985687
C1005758880,266,1.0,103159.86,103159.86
C1005766037,786,0.0,0.0,0.0
C1005774807,551,4.0,1086708.3407798335,271677.0851949584
C1005792961,619,1.0,10726.49,10726.49
C1005826108,553,1.0,176884.99,176884.99
C1005839342,476,1.0,12337.75,12337.75
C1005839430,763,0.0,0.0,0.0
C1005891074,546,1.0,3723.77,3723.77
C1005892064,457,1.0,129055.66,129055.66
C1005911731,645,1.0,119871.08,119871.08
C1005947500,764,0.0,0.0,0.0
C1005962323,765,0.0,0.0,0.0
C1005969803,552,1.0,317831.59,317831.59
C1005982303,506,1.0,19276.67,19276.67
C1006043814,530,1.0,99681.6,99681.6
C1006067408,410,1.0,5809.1,5809.1
C1006101601,400,1.0,12679.2,12679.2
C1006108673,316,1.0,8408.19,8408.19
C1006136997,115,1.0,287102.79,287102.79
C1006149418,424,1.0,72105.17,72105.17
C1006155444,639,1.0,37162.8,37162.8
C1006165948,424,1.0,16716.85,16716.85
C1006172069,788,0.0,0.0,0.0
C1006206791,451,1.0,9834.8,9834.8
C1006241652,599,1.0,73425.11,73425.11
C1006243683,503,1.0,194473.57,194473.57
C1006332521,506,1.0,16086.58,16086.58
C1006337841,482,1.0,264277.34,264277.34
C1006340251,254,1.0,23830.03,23830.03
C1006341310,483,1.0,33747.51,33747.51
C1006475867,460,1.0,32488.88,32488.88
C1006504360,484,1.0,133762.28,133762.28
C1006513277,459,1.0,22023.56,22023.56
C1006534704,450,5.0,134651.37799753682,26930.275599507364
C1006541264,580,1.0,7001.82,7001.82
C1006562134,547,1.0,7193.55,7193.55
C1006567515,266,1.0,160232.13,160232.13
C1006574057,624,1.0,45039.4,45039.4
C1006608697,618,1.0,246824.81,246824.81
C1006631831,507,1.0,14862.24,14862.24
C1006631920,355,3.0,417083.36827553256,139027.78942517753
C1006634012,567,1.0,88931.17,88931.17
C1006659861,793,0.0,0.0,0.0
C1006660441,597,1.0,145626.61,145626.61
C1006682786,427,1.0,116581.33,116581.33
C1006692023,767,0.0,0.0,0.0
C1006713274,257,1.0,96528.58,96528.58
C1006736612,789,0.0,0.0,0.0
C1006759468,592,1.0,95990.81,95990.81
C100679733,544,1.0,167255.23,167255.23
C1006803168,569,1.0,993.01,993.01
C1006807152,482,1.0,196878.2,196878.2
C1006843913,413,1.0,6472.92,6472.92
C1006845479,337,1.0,156228.52,156228.52
C100686363,495,1.0,203576.54,203576.54
C1006880837,380,1.0,90574.55,90574.55
C1006931769,546,1.0,19452.02,19452.02
C1006936536,495,1.0,565.68,565.68
C1007001624,556,1.0,1523.96,1523.96
C1007011468,402,1.0,11371.99,11371.99
C1007012962,543,1.0,6724.44,6724.44
C1007023517,544,1.0,118188.6,118188.6
C1007041706,620,1.0,242127.61,242127.61
C1007058167,522,1.0,14123.5,14123.5
C1007098750,214,1.0,238086.46,238086.46
C100716558,501,1.0,55402.4,55402.4
C1007170336,676,1.0,15765.24,15765.24
C1007173686,412,1.0,102464.17,102464.17
C1007197782,436,1.0,12522.91,12522.91
C1007228912,650,1.0,15192.05,15192.05
C1007238761,460,1.0,247098.59,247098.59
C1007242540,508,1.0,15343.78,15343.78
C1007276044,484,1.0,157899.75,157899.75
C1007302799,603,1.0,186512.67,186512.67
C1007336456,519,1.0,272840.91,272840.91
C1007362134,242,4.0,12520.887523495327,3130.2218808738317
C1007397961,338,4.0,1430508.5565383637,357627.1391345909
C1007400187,449,1.0,64369.92,64369.92
C1007420664,664,1.0,17734.66,17734.66
C1007420702,640,1.0,102041.72,102041.72
C1007450530,476,3.0,10304.202658605722,3434.7342195352408
C1007465946,625,1.0,165729.53,165729.53
C1007489783,675,1.0,83531.88,83531.88
C1007503567,674,1.0,162929.46,162929.46
C1007506899,532,1.0,11227.4,11227.4
C1007525602,139,1.0,104642.14,104642.14
C1007535490,403,1.0,2789.53,2789.53
C1007542619,472,1.0,1234.11,1234.11
C100755518,433,1.0,112485.81,112485.81
C1007561845,647,1.0,225299.95,225299.95
C1007615253,670,1.0,234629.99,234629.99
C1007621642,673,1.0,39454.21,39454.21
C1007643992,452,1.0,296064.34,296064.34
C1007656432,572,5.0,314626.80759532173,62925.36151906435
C1007693321,457,1.0,399105.28,399105.28
C1007694411,480,1.0,130082.53,130082.53
C1007695701,533,1.0,240239.72,240239.72
C1007700105,427,1.0,80471.15,80471.15
C1007737234,505,1.0,8487.45,8487.45
C1007789970,525,1.0,139301.27,139301.27
C1007802950,602,4.0,999663.3490058156,249915.8372514539
C1007808672,194,1.0,1304.21,1304.21
C1007819705,502,1.0,26664.46,26664.46
C1007825194,530,1.0,194.01,194.01
C1007868043,482,1.0,529439.03,529439.03
C1007876144,406,1.0,7314.44,7314.44
C100788103,481,1.0,100213.02,100213.02
C100788582,627,1.0,340674.45,340674.45
C1007910530,456,1.0,3148.33,3148.33
C1007925536,768,0.0,0.0,0.0
C1007949175,768,0.0,0.0,0.0
C1007951748,580,1.0,58092.0,58092.0
C1007988812,549,1.0,16858.32,16858.32
C1007993601,380,1.0,332288.55,332288.55
C1008070623,770,0.0,0.0,0.0
C1008085943,618,1.0,3571.47,3571.47
C100812550,521,1.0,216360.83,216360.83
C1008144662,571,1.0,11686.24,11686.24
C1008216410,405,1.0,12731.07,12731.07
C1008266877,618,1.0,272187.92,272187.92
C1008299944,284,1.0,307733.82,307733.82
C1008307191,502,1.0,98845.01,98845.01
C1008349726,571,1.0,344559.85,344559.85
C1008356046,669,1.0,5331.06,5331.06
C1008358423,189,1.0,7626.6,7626.6
C1008358475,770,0.0,0.0,0.0
C1008382649,786,0.0,0.0,0.0
C1008394713,221,1.0,85032.46,85032.46
C1008442633,459,1.0,106407.72,106407.72
C1008466254,649,1.0,201559.42,201559.42
C1008481595,553,1.0,289829.57,289829.57
C100849493,479,1.0,20929.61,20929.61
C1008499354,522,1.0,102708.04,102708.04
C1008507978,455,1.0,13907.04,13907.04
C1008538185,458,1.0,119993.74,119993.74
C100854381,627,1.0,25496.96,25496.96
C1008555169,604,1.0,293878.94,293878.94
C1008562721,571,1.0,66237.47,66237.47
C1008574521,498,1.0,493029.63,493029.63
C1008579696,496,1.0,14680.18,14680.18
C1008582344,598,1.0,11136.17,11136.17
C1008605102,598,1.0,919.91,919.91
C1008610483,578,1.0,43428.5,43428.5
C1008670542,575,1.0,198951.81,198951.81
C1008682622,409,1.0,33135.42,33135.42
C1008683779,557,1.0,124897.65,124897.65
C1008684947,599,1.0,2397.78,2397.78
C1008692583,673,1.0,171643.95,171643.95
C1008693859,550,1.0,132233.07,132233.07
C1008701290,676,1.0,275460.44,275460.44
C1008744601,550,1.0,1516.32,1516.32
C1008754049,137,1.0,282430.66,282430.66
C1008777610,605,1.0,4052.65,4052.65
C1008841440,500,1.0,349747.42,349747.42
C1008850787,481,1.0,33849.9,33849.9
C1008852413,427,1.0,110312.96,110312.96
C1008858072,498,1.0,19234.61,19234.61
C1008880208,433,1.0,4769.77,4769.77
C1008903248,782,0.0,0.0,0.0
C1008956070,409,1.0,119422.19,119422.19
C1008989145,668,1.0,66729.72,66729.72
C1008997382,794,0.0,0.0,0.0
C100900570,763,0.0,0.0,0.0
C10090353,623,1.0,408669.16,408669.16
C1009039935,402,3.0,135250.7422475434,45083.580749181136
C1009070471,524,1.0,42138.47,42138.47
C1009099811,769,0.0,0.0,0.0
C100910731,292,1.0,314908.78,314908.78
C1009113981,405,1.0,581944.1,581944.1
C1009125498,306,1.0,161081.51,161081.51
C1009140228,457,1.0,181282.35,181282.35
C1009148076,622,1.0,102998.17,102998.17
C1009192782,793,0.0,0.0,0.0
C1009234066,578,1.0,123903.89,123903.89
C100924759,668,1.0,163049.44,163049.44
C1009252910,621,1.0,1283.17,1283.17
C1009268266,618,1.0,6182.61,6182.61
C1009282267,458,1.0,1374699.44,1374699.44
C1009284554,351,1.0,16315.52,16315.52
C1009323570,628,1.0,10897.05,10897.05
C1009379848,531,1.0,125469.7,125469.7
C1009382352,581,1.0,84918.1,84918.1
C1009384074,476,1.0,414570.72,414570.72
C1009401061,673,1.0,219152.78,219152.78
C1009439503,665,1.0,107200.95,107200.95
C100945306,629,1.0,11877.46,11877.46
C1009507764,639,1.0,53832.5,53832.5
C1009518318,481,1.0,1360937.97,1360937.97
C1009520986,796,0.0,0.0,0.0
C1009540864,483,1.0,992.96,992.96
C1009543885,618,1.0,4410.55,4410.55
C1009545124,645,1.0,427779.9,427779.9
C1009602326,677,1.0,29128.66,29128.66
C1009605603,772,0.0,0.0,0.0
C1009608334,454,1.0,1142541.08,1142541.08
C1009617092,552,1.0,42242.07,42242.07
C1009632622,500,1.0,21237.22,21237.22
C1009650749,556,1.0,198474.26,198474.26
C1009658800,647,1.0,43658.34,43658.34
C1009664299,651,1.0,686030.85,686030.85
C1009667444,408,1.0,2479.45,2479.45
C1009725047,546,1.0,206111.03,206111.03
C1009732682,458,1.0,253474.45,253474.45
C1009756130,787,0.0,0.0,0.0
C100976386,432,1.0,16636.56,16636.56
C1009804263,387,5.0,48678.166754891805,9735.633350978362
C100981798,483,1.0,146262.05,146262.05
C1009847999,604,1.0,2921.45,2921.45
C1009852720,650,1.0,345544.18,345544.18
C1009875041,422,1.0,972.46,972.46
C1009877990,306,1.0,144836.18,144836.18
C1009905179,554,1.0,59442.55,59442.55
C1009920781,485,1.0,138604.43,138604.43
C1009930562,667,1.0,4974.35,4974.35
C1009995186,773,0.0,0.0,0.0
C1010006367,553,1.0,9678.99,9678.99
C1010023424,476,1.0,12559.16,12559.16
C1010039276,667,1.0,150700.78,150700.78
C1010042535,616,1.0,54754.02,54754.02
C10100743,500,1.0,264655.09,264655.09
C1010109161,552,1.0,208245.82,208245.82
C1010111782,527,1.0,196386.46,196386.46
C1010152249,792,0.0,0.0,0.0
C1010155007,569,1.0,256701.48,256701.48
C1010170427,556,1.0,270610.16,270610.16
C101018105,618,1.0,309770.2,309770.2
C1010204181,622,1.0,7316.97,7316.97
C1010238472,793,0.0,0.0,0.0
C1010245977,762,0.0,0.0,0.0
C1010252616,762,0.0,0.0,0.0
C1010265894,498,1.0,286337.25,286337.25
C1010282355,194,1.0,425534.99,425534.99
C1010288325,618,1.0,158466.17,158466.17
C1010296871,788,0.0,0.0,0.0
C1010327118,406,1.0,74887.06,74887.06
C1010375664,796,0.0,0.0,0.0
C1010375942,677,1.0,3675444.25,3675444.25
C1010387553,505,1.0,432732.15,432732.15
C1010397998,409,1.0,118021.18,118021.18
C1010416204,399,1.0,1998.4,1998.4
C101041765,411,1.0,46436.34,46436.34
C1010486316,619,1.0,248544.85,248544.85
C1010503471,88,1.0,55998.4,55998.4
C1010513759,450,1.0,94440.15,94440.15
C1010553379,387,3.0,9841.9507313958,3280.6502437986
C1010570508,788,0.0,0.0,0.0
C101057614,427,1.0,10874.64,10874.64
C1010592790,479,1.0,11391.92,11391.92
C1010627948,549,5.0,465352.80569985294,93070.56113997058
C1010633388,600,1.0,134213.66,134213.66
C101064576,603,1.0,176205.12,176205.12
C1010718829,671,1.0,186675.03,186675.03
C1010771045,798,0.0,0.0,0.0
C1010771556,452,1.0,173417.87,173417.87
C1010776356,628,1.0,233703.35,233703.35
C1010796696,763,0.0,0.0,0.0
C1010841066,413,4.0,289224.30359445896,72306.07589861474
C1010850385,233,1.0,119255.93,119255.93
C1010850582,547,1.0,8411.84,8411.84
C1010863763,590,1.0,9178.24,9178.24
C1010876266,554,1.0,36752.61,36752.61
C101088670,435,1.0,225728.11,225728.11
C1010899751,769,0.0,0.0,0.0
C1010933178,361,3.0,638485.3203925062,212828.4401308354
C1010942115,691,3.0,1809780.7560790456,603260.2520263485
C1010978260,602,1.0,20219.27,20219.27
C101099004,653,1.0,191353.81,191353.81
C1011011152,597,1.0,127708.62,127708.62
C1011031919,284,1.0,136606.8,136606.8
C1011068886,787,0.0,0.0,0.0
C1011107770,555,1.0,1030979.06,1030979.06
C1011111940,431,1.0,200245.39,200245.39
C1011118495,548,1.0,85285.47,85285.47
C1011123973,628,1.0,197978.23,197978.23
C101115463,306,1.0,284910.69,284910.69
C1011159372,524,1.0,17158.84,17158.84
C1011199893,677,1.0,10232.65,10232.65
C1011201006,437,1.0,213611.47,213611.47
C1011223384,528,1.0,10681.92,10681.92
C1011264718,434,1.0,5858.99,5858.99
C1011274604,601,1.0,394789.49,394789.49
C1011343292,502,1.0,1892.85,1892.85
C1011406396,407,1.0,30188.01,30188.01
C1011412713,760,0.0,0.0,0.0
C1011414795,471,1.0,740.0,740.0
C1011430646,459,1.0,74260.98,74260.98
C1011452129,798,0.0,0.0,0.0
C1011462347,483,1.0,420214.57,420214.57
C1011495657,502,1.0,19058.31,19058.31
C1011555741,243,1.0,189793.92,189793.92
C1011591191,546,1.0,266764.51,266764.51
C1011611196,785,0.0,0.0,0.0
C1011632582,650,1.0,50218.46,50218.46
C1011642994,523,1.0,172742.93,172742.93
C1011650286,525,1.0,5786.93,5786.93
C1011665365,477,5.0,607929.8783506171,121585.97567012343
C1011669660,770,0.0,0.0,0.0
C1011684915,667,1.0,3293.14,3293.14
C1011723574,674,1.0,41782.45,41782.45
C1011773418,507,1.0,446935.5,446935.5
C1011834240,766,0.0,0.0,0.0
C1011858221,770,0.0,0.0,0.0
C1011877389,646,1.0,39091.41,39091.41
C1011890652,673,1.0,1652.75,1652.75
C1011912873,408,1.0,1262.02,1262.02
C1011942508,524,4.0,632900.5838483336,158225.1459620834
C1011954820,578,1.0,264937.88,264937.88
C1011962503,116,1.0,8298.2,8298.2
C1011968793,788,0.0,0.0,0.0
